Time Steps,h
10,"[ 0.3354064   0.35981303  0.3509838   0.347228    0.3363878   0.32103306
  0.32799518  0.3324311   0.18358548  0.34986293  0.25774637  0.34294635
  0.34720352  0.3450826   0.35924384  0.32670096  0.32946995  0.34085426
  0.2520445   0.35995787  0.33999416  0.33421457  0.3599871   0.3599656
  0.35056728  0.28275412  0.33501187  0.3476127   0.3596083   0.33899352
  0.34387833  0.3385427   0.35999414  0.3509736   0.21754937  0.34399092
  0.34858847  0.3484092   0.31566253 -0.02260953  0.35745135  0.23707978
  0.345976    0.3463684   0.3587397   0.2577081   0.34488112  0.3595041
  0.35948682  0.32508546  0.3472203   0.33453682  0.35985765  0.25265595
  0.22648782  0.35874015 -0.31704414  0.3586197   0.359998    0.35827088
  0.35913417  0.33863226  0.3364454   0.32613033]"
11,"[ 0.34122896  0.15461564  0.3585439   0.35528705 -0.06861225  0.34997863
  0.33992633  0.33711228  0.32205525  0.34986395  0.34856364  0.34271735
  0.3477232  -2.437068    0.3582774   0.33454865 -0.4428538  -0.09500232
 -0.6851764   0.35999224  0.3419021  -0.3742935   0.35999498  0.3597872
  0.34752837  0.30259228  0.34851927  0.34741265 -1.5404176   0.15329641
  0.17226353  0.3370538   0.2595928   0.3509573   0.20308734  0.34243187
  0.34836012  0.35402924  0.35573646  0.28912202  0.35924318  0.35617486
 -0.44991326  0.33903378  0.35986573 -2.7224088  -1.2939898   0.00650162
  0.35995698 -0.26272345  0.34708676  0.34374952  0.3599955   0.29695612
  0.20008473  0.35935345  0.34893858  0.31497633  0.35999963  0.3588996
  0.35983765  0.34156048  0.33936578 -0.34300208]"
12,"[ 0.33885613  0.35972723  0.23409739  0.35997662  0.03721246  0.35971496
  0.34683678  0.34206185  0.35898164 -3.4739532   0.3438974   0.34275147
 -1.0935017   0.3443201   0.06796458  0.35741714  0.20350787 -1.7325507
 -0.02811778  0.35999852  0.34255996  0.35152963  0.3588944  -0.07817629
  0.33469236  0.01654795  0.34745008  0.34733006  0.35826206  0.34756052
  0.33513162  0.35692465  0.35968962  0.3509398  -0.22974455  0.27722484
  0.35049358  0.32840073  0.3594481   0.3342443  -1.0096792   0.35787326
 -0.6876725   0.33851397  0.35998994  0.34536445 -1.2720746  -1.6867896
  0.3599933   0.09746182  0.35777777  0.34570903  0.28326824 -1.5066961
  0.11643106  0.35991764  0.35133085  0.34814775 -0.60384196 -0.04078123
  0.3599733   0.34337902  0.3420656   0.05410054]"
13,"[ 0.34344745  0.35994306  0.35959747  0.35995927  0.33747408  0.35976985
  0.35823584  0.3441394   0.35833937  0.35852924 -0.715901    0.34278372
  0.24774435  0.34614852  0.34928975  0.3588309   0.35680223  0.31266475
  0.34987316  0.35999972  0.34271732  0.33129832  0.35997275  0.33986217
  0.33101457  0.35384774  0.3294014   0.34730664  0.3513639   0.12126261
  0.35291582  0.35937825  0.35993522  0.35071647  0.33502454  0.35400653
  0.34821683  0.35862407  0.3598392   0.35807416  0.35682106  0.34429294
  0.35864472 -0.01359683  0.3599977   0.34520882  0.29615137  0.34355873
  0.00623915  0.3051774   0.35893834  0.34169805 -5.1464496   0.28859353
  0.3162689   0.35998973  0.34801918  0.35736814  0.33772588 -4.2635865
  0.35999528  0.3440194   0.34276867  0.3247081 ]"
14,"[  0.34558028   0.35999066   0.35908297   0.35999402   0.34544155
   0.35995367   0.35994095   0.32576036  -0.29106718   0.3558748
   0.35011548   0.34279406   0.3474449    0.33181918   0.3592309
   0.35987777   0.33668232   0.23226146   0.34397095   0.35999995
   0.34273475   0.3262496    0.3599937    0.3454659    0.33516228
   0.346014     0.35967132   0.3473013    0.35973555   0.31928152
   0.34249452   0.35994193   0.35999227   0.35092348   0.3499419
   0.34323198   0.3480865    0.35929883   0.35996425   0.11021878
   0.35587564   0.35983643   0.3496141   -3.878971     0.35999948
   0.32393485   0.33274987   0.35067642 -11.889149    -0.12323421
   0.35986754   0.35642797   0.22053123   0.34026805   0.35468456
   0.35999843   0.3595597    0.3598054    0.35364163   0.11373501
   0.35999912   0.3441775    0.33103627   0.31194228]"
15,"[ 0.34598076  0.35999843  0.3598666   0.35999963  0.35747647 -0.10785908
  0.3599849   0.33990648  0.22344247  0.33285305  0.35725793  0.34279534
  0.35059434  0.3318299   0.35979226  0.35999328  0.11681141  0.3457955
  0.35859582  0.36        0.3427221   0.3424191   0.35999894  0.35873234
  0.34909755  0.14039214  0.3579596   0.3472996   0.35971177  0.35628366
  0.35845804  0.35998663  0.16084361  0.3510241   0.3542219   0.33141473
  0.3479044   0.35979533  0.3599936   0.32980525  0.3599038   0.35996783
  0.25484282  0.31063712  0.35853276  0.3404764   0.3535409   0.3594403
  0.25066182  0.17163211  0.35996288  0.35575637  0.03015971  0.35514823
  0.35829133  0.35999978  0.35856533  0.3599574   0.3596851   0.25508553
  0.35999984  0.34418732 -1.383239    0.3546987 ]"
16,"[ 0.33540806  0.3599998   0.35994768  0.04596907  0.35751548 -0.01912928
  0.35999644  0.34557945  0.33998805  0.34354657 -1.5194675   0.35795364
  0.35887188 -0.02169514  0.3596153   0.35999885  0.2985691  -3.0023527
  0.35986567  0.36       -0.57005394 -2.2813783   0.3599998   0.35956365
  0.35216245 -0.17011464  0.3595271   0.32928374  0.35993186  0.35977504
 -1.3003751   0.35999706  0.04975721  0.35122505 -0.9987507   0.3294983
  0.34778503  0.35997802  0.35999885  0.34098896  0.35986957  0.35677382
 -0.71465683  0.34467393  0.3599964   0.34340844  0.34743693  0.35987782
  0.33542266  0.34855625  0.35999015  0.35852203 -0.5643612   0.31455877
 -0.09434965  0.35999998  0.35965762 -1.2823825   0.3596711   0.33549374
  0.35999998  0.34417197  0.2744644   0.32811376]"
17,"[ 0.33281904  0.35999998  0.35998946 -1.775469    0.35584015 -0.8610811
  0.23385425  0.34843653  0.35597116  0.33837998  0.30808756  0.35939732
  0.3595836   0.3511037   0.35999206  0.35999975 -0.42942333  0.35677984
  0.3599591   0.36       -0.222552    0.04253697  0.35999998  0.35991567
  0.3361042  -1.4596128   0.359994    0.32596773  0.35999137  0.35989818
  0.35854927  0.3599996  -0.7467704   0.35081115  0.35341594 -2.3222032
  0.34774306  0.35999763  0.28304675  0.3581421   0.35997355 -0.23899496
  0.28634018  0.35591602  0.35999933  0.34325936  0.35729334  0.35978067
  0.35780165 -0.17962462  0.35999784  0.3406343  -2.1813555   0.28197646
  0.33225307  0.36        0.35354537  0.35593444  0.35996935 -3.7584524
  0.36        0.18400407  0.357629   -0.9941355 ]"
18,"[ 0.33478945  0.3598204   0.3599983  -1.1931185   0.09506196 -0.67824256
  0.35994682  0.3483995   0.3424302  -0.00360781  0.34749174  0.35994622
  0.35988715 -0.3087412   0.3599991   0.35999998  0.17323656 -0.33055705
  0.35999689  0.36        0.32672006  0.00715458  0.36        0.35999683
  0.33340412  0.1839256   0.35999778  0.34319347  0.35999882  0.35998932
  0.3518354   0.35999995  0.09978411  0.33410412  0.34214437  0.3393676
  0.22338417  0.3599997   0.2751812   0.35902768  0.3599969   0.2986508
  0.34106225  0.35219666  0.10806262  0.07209036  0.16791081  0.3490748
  0.35840854  0.04447773  0.35999966  0.35612893  0.28242502  0.34296516
  0.35810533  0.36        0.35980746  0.3579441   0.35999805 -1.0804728
  0.36        0.20805526  0.35444373  0.21232635]"
19,"[ 0.3507803   0.35999903  0.35999972  0.3492012  -0.27915144  0.33756742
  0.3597182   0.3585756  -4.01394    -0.09452996  0.35493404  0.35998815
  0.35998082  0.22089696 -0.20278096  0.36        0.33281335  0.30647832
  0.35999942  0.36        0.33680725  0.34669632  0.36        0.35999832
  0.33762    -0.26574266  0.3599996   0.347985    0.3599998   0.3599994
  0.35978535  0.36        0.31056163  0.34078416 -0.22677547  0.35726982
  0.15586491  0.35999995 -0.718359   -1.9373046   0.35999957 -1.3430749
 -0.5267674   0.34693405 -0.40600646  0.1956523   0.281333   -0.08066547
  0.3597456  -2.8790808   0.35999998  0.3589052   0.3540692   0.3588621
 -0.33574605  0.36        0.35999042  0.3599152   0.35999984 -0.7821418
  0.36        0.3564419   0.3345939   0.2651481 ]"
