Evaluation Step,Agent 1,Agent 2,Agent 3,Agent 4
0,0.9869663715362549,0.9869663715362549,0.9869663715362549,0.9869663715362549
1,0.7326507568359375,0.7326507568359375,0.7326507568359375,0.7326507568359375
2,1.8507492542266846,1.8507492542266846,1.8507492542266846,1.8507492542266846
3,0.7336571216583252,0.7336571216583252,0.7336571216583252,0.7336571216583252
4,0.7700049877166748,0.7700049877166748,0.7700049877166748,0.7700049877166748
5,1.229219913482666,1.229219913482666,1.229219913482666,1.229219913482666
6,0.4808804988861084,0.4808804988861084,0.4808804988861084,0.4808804988861084
7,0.7524182796478271,0.7524182796478271,0.7524182796478271,0.7524182796478271
8,1.0734100341796875,1.0734100341796875,1.0734100341796875,1.0734100341796875
9,1.0850262641906738,1.0850262641906738,1.0850262641906738,1.0850262641906738
