Time Steps,h
110,[0.33220184 0.36       0.33153716 0.3599978 ]
111,[0.35999987 0.35999987 0.35999987 0.35999987]
112,[0.3189725  0.31774268 0.31939104 0.31784716]
113,[0.34350556 0.34101617 0.3440729  0.34073627]
114,[0.3470874  0.34378445 0.3329103  0.34333307]
115,[0.32965016 0.3445573  0.34407303 0.32250124]
116,[0.3412422  0.34452438 0.34822503 0.33623195]
117,[0.3465367  0.34442762 0.3495878  0.3417733 ]
118,[0.34812424 0.344368   0.32906276 0.34348953]
119,[0.34841758 0.344338   0.34260955 0.35625803]
120,[0.34846935 0.34432372 0.34800717 0.3590666 ]
121,[0.35744932 0.33663887 0.342441   0.3598495 ]
122,[0.35876495 0.3277393  0.33483842 0.35997048]
123,[0.35946542 0.3543746  0.326268   0.35998636]
124,[0.3598471  0.35597357 0.20730568 0.35999465]
125,[0.35996556 0.3573735  0.17958769 0.35999805]
126,[0.35999152 0.35909384 0.22254801 0.35999927]
127,[0.3599958  0.35955846 0.30551898 0.3599996 ]
128,[0.35999817 0.3598299  0.22849381 0.3599998 ]
129,[0.35999933 0.3599504  0.22894692 0.35999992]
130,[0.35999975 0.3599839  0.23222686 0.35999998]
131,[0.35999987 0.35999987 0.35999987 0.35999987]
132,[0.31892246 0.3152594  0.33887884 0.31900182]
133,[0.3295352  0.33568758 0.32370025 0.34379128]
134,[0.34606168 0.32140803 0.33264002 0.32220915]
135,[0.34811807 0.3359468  0.33744872 0.33282366]
136,[0.33079058 0.33560553 0.34604022 0.3380528 ]
137,[0.33482495 0.33558217 0.34772837 0.34675393]
138,[0.34717163 0.33545375 0.3483231  0.34835956]
139,[0.34826586 0.3544543  0.34837428 0.33072695]
140,[0.34872732 0.35864636 0.3483738  0.3347871 ]
141,[-49.964718     0.3597868   -1.531275     0.33842903]
142,[-0.15882969  0.35996294  0.33305994  0.33947328]
143,[0.279261   0.35999265 0.35087526 0.34710246]
144,[0.30178073 0.35999846 0.33204716 0.33519158]
145,[0.32628763 0.3599997  0.3350153  0.34324864]
146,[0.34553272 0.35999995 0.34714285 0.3202703 ]
147,[0.33825338 0.35999998 0.3383932  0.35772717]
148,[0.32593524 0.36       0.32604933 0.35876834]
149,[0.32926568 0.36       0.31255266 0.35981804]
150,[0.32139915 0.36       0.3571733  0.3599375 ]
151,[0.35999987 0.35999987 0.35999987 0.35999987]
152,[0.33903238 0.31870824 0.3189197  0.31963253]
153,[0.3435131  0.34328052 0.34320584 0.34480497]
154,[0.32674313 0.33177868 0.33180708 0.34901765]
155,[0.34057546 0.34743136 0.34282526 0.3503395 ]
156,[ 3.1847742e-01 -2.4163127e+03 -2.6912043e+04  3.5059702e-01]
157,[   0.3311844  -51.913025  -277.006        0.330458 ]
158,[ 0.3368342  -0.26105082 -7.136866    0.33600086]
159,[ 0.33824235  0.13182174 -0.89779675  0.34004077]
160,[0.3385475  0.2891708  0.08773315 0.34758934]
161,[0.3455094  0.33906367 0.3106835  0.34977806]
162,[0.3471647  0.34691542 0.33892134 0.35050276]
163,[0.3478139  0.3482009  0.34481663 0.32942513]
164,[0.32784897 0.34838533 0.32678103 0.343019  ]
165,[ -2.9093394    0.34839413 -18.499598     0.3579235 ]
166,[-0.10064676  0.3483837  -1.8497239   0.35940126]
167,[0.35569254 0.3483764  0.09080249 0.35995045]
168,[0.34789592 0.3483724  0.25821328 0.3599973 ]
169,[0.357534   0.33897448 0.26524323 0.3599998 ]
170,[0.35943994 0.3587112  0.2282521  0.35999998]
171,[0.35999987 0.35999987 0.35999987 0.35999987]
172,[0.318598   0.31160817 0.33865613 0.31898353]
173,[0.3283367  0.32643944 0.34321845 0.34332323]
174,[0.34464338 0.30936232 0.34667942 0.3471522 ]
175,[0.34629226 0.32233015 0.32766533 0.3484238 ]
176,[0.34685162 0.32150438 0.3331942  0.34861603]
