Time Steps,h
112,[0.33685172 0.34738025 0.31721994 0.32504088]
113,[0.34273204 0.34741652 0.33639234 0.33931848]
114,[0.35838956 0.34748885 0.35607255 0.34693894]
115,[0.35930714 0.3285118  0.35925278 0.34936962]
116,[0.3597955  0.3573489  0.35989857 0.33991447]
117,[0.35994095 0.3582682  0.35998127 0.32487193]
118,[0.3599838  0.35902792 0.3599912  0.31553498]
119,[0.35999522 0.35955968 0.35999596 0.3206689 ]
120,[0.35999852 0.35989654 0.3599987  0.32079414]
121,[0.35999957 0.3599798  0.35999966 0.3210708 ]
122,[0.3069712 0.3069712 0.3069712 0.3069712]
123,[0.34016532 0.33519796 0.34165424 0.3178893 ]
124,[0.3142698  0.32793328 0.34207043 0.34550577]
125,[0.33730894 0.34695768 0.34616223 0.34749728]
126,[0.341065   0.3468727  0.34758145 0.34814727]
127,[0.34195146 0.34986684 0.34767538 0.3486579 ]
128,[0.34179747 0.33274907 0.34755814 0.34895965]
129,[0.34172583 0.33305708 0.3475178  0.34907964]
130,[0.34176826 0.348145   0.34752744 0.34910738]
131,[0.34181643 0.35788465 0.34754008 0.33255094]
132,[0.34184104 0.35914823 0.3475448  0.33965567]
133,[0.34185043 0.3599073  0.34754542 0.3487181 ]
134,[0.34185398 0.35998788 0.3475454  0.35103452]
135,[0.32210585 0.35999793 0.3475455  0.35085452]
136,[0.33826178 0.35999966 0.35917765 0.35044676]
137,[0.34009594 0.35999995 0.35842234 0.34988403]
138,[0.34253478 0.36       0.3596352  0.35004336]
139,[0.3246256  0.36       0.35998273 0.35041687]
140,[0.33532044 0.36       0.35999718 0.34962803]
141,[0.35587576 0.36       0.35999894 0.34333682]
142,[0.3069712 0.3069712 0.3069712 0.3069712]
143,[0.32450902 0.33531588 0.33423036 0.34035876]
144,[0.33714494 0.34403303 0.337202   0.33490464]
145,[0.34269926 0.34060124 0.3252542  0.3402303 ]
146,[0.34494224 0.34300518 0.34126806 0.32483518]
147,[0.34506497 0.34516048 0.32739806 0.32353845]
148,[0.34483552 0.33511484 0.32536548 0.32738596]
149,[0.35801005 0.34774202 0.34246287 0.34141886]
150,[0.35927042 0.34529203 0.33814192 0.3428789 ]
151,[0.3598789  0.35011247 0.3268893  0.34296906]
152,[0.35998186 0.33335128 0.32467252 0.34232402]
153,[0.35999694 0.34854746 0.3407026  0.34204087]
154,[0.35999945 0.34532115 0.34278277 0.34202072]
155,[0.35999992 0.34865767 0.34800696 0.34204984]
156,[0.35999998 0.34998482 0.35908002 0.34206614]
157,[0.36      0.3502727 0.3582881 0.3299738]
158,[0.36       0.33669215 0.35962966 0.3457767 ]
159,[0.36       0.3313393  0.35998616 0.34304556]
160,[0.36       0.33487868 0.35999754 0.3411722 ]
161,[0.36       0.34890258 0.3599997  0.3416024 ]
162,[0.3069712 0.3069712 0.3069712 0.3069712]
163,[0.309973   0.3420624  0.34491798 0.3344357 ]
164,[0.32843778 0.34272462 0.33470592 0.34195763]
165,[0.31941143 0.34694198 0.3374145  0.3441487 ]
166,[0.3285045  0.3484855  0.3391816  0.34756234]
167,[0.3171063  0.34864032 0.33989838 0.3485028 ]
168,[0.35230276 0.34854037 0.34014755 0.34838766]
169,[0.35602066 0.33007336 0.34023204 0.34817815]
170,[0.35941476 0.33314273 0.3402654  0.34809956]
171,[0.35992837 0.33473918 0.34028184 0.34809113]
172,[0.3599873  0.3386944  0.34029055 0.34809378]
173,[0.35999757 0.34043276 0.32642934 0.34809327]
174,[0.3599995  0.34086323 0.33902928 0.3480914 ]
175,[0.3599999  0.34087592 0.3407949  0.34809017]
176,[0.35999998 0.3408451  0.3476251  0.34808978]
177,[0.36       0.3311055  0.3595123  0.35945386]
