Time Steps,h
10,"[ 0.3569505   0.0618982   0.33262768  0.35425007 -0.8855034  -0.16888523
  0.35993463 -0.11579418  0.31872538  0.32878223 -0.21385187  0.34833816
 -2.548974    0.32996124  0.35884693  0.3295125   0.3336067   0.3391106
  0.35883674  0.26982775  0.34511828  0.32211658  0.08889091  0.314254
  0.33691823  0.33513972  0.34369612  0.34545058  0.0457657  -0.18966126
  0.3589534   0.34756646  0.09778407  0.35410357  0.18457538  0.33468947
  0.3481864   0.18578927  0.34470358 -0.17990923  0.34583643  0.34495062
  0.21610309  0.32527584  0.33638752  0.33382395  0.34580234  0.35946342
  0.33793828  0.35297328  0.34089276  0.34297118  0.3524136   0.33907393
 -0.14802313  0.35995942  0.35852027  0.3307035   0.35998526  0.20193017
 -0.6850482  -0.21740901  0.3423145   0.34125787]"
11,"[ 2.8478944e-01  2.2369434e-01  4.7198445e-02 -2.8419552e+01
  2.6261002e-01  2.4130197e-01  3.5999200e-01  2.8114712e-01
  3.2533765e-01  3.4330589e-01  3.4048882e-01  3.4648162e-01
  1.4937457e-01  3.3934110e-01  3.5985422e-01  3.4908447e-01
 -2.2743940e-02  3.4014800e-01  3.5991320e-01  3.4090602e-01
  3.4511212e-01  3.4529531e-01  2.3292750e-01 -4.7234815e-01
  3.3710235e-01 -6.6902459e-02  3.5246849e-01  3.4606472e-01
  2.6052350e-01 -2.1163883e+01  3.5971531e-01  3.4753919e-01
  3.3915538e-01  3.4797543e-01  3.3555380e-01 -1.6218566e+00
  3.4818605e-01  3.1315351e-01  3.4471184e-01  2.7951008e-01
 -8.6003208e-01  3.2561252e-01  3.2023302e-01  3.3646238e-01
 -4.8038220e-01  3.3765861e-01  3.4573060e-01  3.5998625e-01
  3.4145054e-01  3.2677558e-01  3.2878101e-01 -9.4042420e-02
  2.3576643e-01  3.3474422e-01 -2.3084369e+00  3.5999849e-01
  3.4927401e-01  3.3562395e-01  3.5999885e-01  3.5278103e-01
  3.2101756e-01  3.5151693e-01 -5.8640152e-01  3.4102461e-01]"
12,"[  0.14853813   0.33115262 -12.175813    -0.01423091   0.33670527
   0.3533421    0.35999966   0.34194332   0.32561487   0.35980037
   0.35882205   0.3459623    0.32178506   0.3596094    0.35998902
   0.35018602  -0.16050255   0.35932025   0.35998714   0.34952956
   0.34510982   0.35524082   0.34907514   0.34333053   0.3524996
   0.3394566    0.34434226   0.34614354   0.33477855  -0.3893751
   0.35998428   0.3475431    0.0707894    0.35922188   0.28518358
   0.32108083   0.3487814    0.17169502   0.34470338   0.16861162
   0.20946963   0.3478539    0.32273892   0.35784778   0.3504425
   0.3495033    0.3457394    0.35999286   0.3420398    0.3389407
   0.35830164   0.34137177  -7.607038     0.3331372    0.34849438
   0.35999995   0.34907487   0.34774107   0.35999966   0.35367894
   0.33172226   0.35483485   0.35677853   0.34091243]"
13,"[ 0.33284622  0.34618306  0.19126277 -0.41306525  0.00816134  0.347219
  0.359999    0.35812482  0.30967736  0.35749942 -0.13026261  0.34541985
  0.35097754 -1.4807107   0.35999846  0.33209002 -0.26900452  0.35817245
  0.3599971   0.3240115   0.34510872  0.3404925   0.3561346   0.35795864
  0.35940492  0.35129473  0.3347813   0.34612903  0.3083918   0.31807363
  0.35999817  0.34754676  0.29608834  0.35874334  0.2998038   0.34633327
  0.3480858   0.3596465   0.34483337  0.18620822  0.25381887  0.08168206
  0.31406522  0.35932097  0.35048458  0.35126975 -0.13089794  0.35999924
  0.3420955   0.31770518  0.3592684   0.34118706  0.28045052  0.33341593
  0.3571553   0.35999998  0.22954129  0.3386172   0.35999998  0.33988225
  0.35748488  0.3472755   0.35951677 -0.9323263 ]"
14,"[ 0.32791707  0.3445638  -0.52606523  0.34824473  0.3128485   0.35946557
  0.35999689  0.35963404  0.33734894  0.03211811  0.24850741  0.3453832
  0.3442956   0.3275839   0.35999972  0.3398716   0.24106626  0.35956022
  0.35999957 -0.12472728  0.2959984  -0.00121117  0.32813716 -0.7117076
  0.35994786  0.35904044  0.3315398   0.34611082  0.34900197  0.2797108
  0.35999975  0.35917777  0.32965553  0.35971197  0.32463184  0.33365047
  0.33073926  0.35965666  0.34443378  0.34792444  0.33698168  0.3452434
  0.3313087   0.35989913  0.35952035  0.35962647  0.21965952  0.35999995
  0.3420776   0.32601503  0.35967168  0.34309015  0.3429841   0.33349872
  0.35965607  0.36        0.32609758  0.35911328  0.36        0.09917709
  0.35921398  0.3597611   0.35989293  0.06305009]"
15,"[  0.04284379   0.13095623   0.35878795   0.34385705   0.3424491
  -0.98829675   0.3599994    0.23592572   0.34491315  -1.6259073
   0.35080233   0.34639946   0.31549066  -2.6890945    0.35999998
  -0.36348712   0.33592752   0.35998276   0.35999995   0.3334504
  -1.1737707    0.20758739   0.359933    -2.9459329   -0.15477741
   0.35997877   0.34625766   0.34617576  -1.9625431   -4.5447016
   0.35999998  -0.30378962   0.35804084   0.35998246   0.3519651
 -11.187177     0.32630748   0.35998031   0.34263307   0.34006384
   0.33712232   0.35563138   0.3358328    0.35918918   0.337943
   0.3585332    0.3081551    0.36        -0.42094827  -1.0147239
   0.2723025   -0.33117694   0.34314242   0.33298853   0.35842815
   0.36         0.34523576   0.35793757  -0.10379457   0.3590537
   0.3598453    0.35872766   0.35997763   0.12780805]"
16,"[ 0.34537682  0.34188193  0.3487891   0.34315908  0.14845082  0.22117664
  0.3599999   0.35976103  0.34669346 -0.00456876 -0.29717636  0.34693763
  0.27380967  0.3052601   0.36        0.3492442   0.30766052  0.35999763
  0.36        0.3463365   0.31701338  0.18533087  0.35840365  0.32194963
  0.28513488  0.35999316  0.34683865  0.22031146  0.3212872   0.23714626
  0.36        0.2908796   0.35840514  0.3599975   0.3593124   0.29361776
  0.34437943  0.359994    0.34945807  0.35776368  0.3511706   0.3446132
  0.3324018   0.359987    0.3054237   0.35970867  0.3406183   0.36
  0.09931591  0.33455577 -3.7881546   0.3579792   0.35628995  0.33337912
  0.35999382  0.36        0.33987463  0.35962227 -3.9589844   0.35565826
  0.3599663   0.35972515  0.35999566  0.16850495]"
17,"[ 0.2877609   0.3410282   0.35962835 -0.73052335  0.33234712  0.27092212
  0.35999998  0.35971794  0.35698685  0.33819532  0.35049462 -0.01308334
  0.28648323  0.3471542   0.36        0.33406618  0.35080937  0.3599997
  0.36       -3.077271   -1.1664027   0.3526831   0.35961014  0.3481002
  0.35173637  0.35502008  0.35070413  0.352223   -3.7792263  -0.29371953
  0.36       -0.59915364  0.3598248   0.35999963  0.35950685  0.32559848
  0.34820002  0.3599994  -2.0771575   0.3590746   0.34908423  0.336378
  0.30962467  0.35999924 -1.022879    0.35999376  0.32981378  0.27129948
  0.33054858  0.34394765  0.22783561  0.3499033   0.35903746  0.3568781
  0.3599974   0.36        0.35903397  0.35998616  0.34293386  0.3599704
  0.35999638  0.35999253  0.35999918  0.34030324]"
18,"[ 0.34291893  0.35730705 -0.08007696  0.28822473  0.33458716  0.3486068
  0.36        0.35997397  0.35879582 -2.1939383   0.35356504  0.33578035
  0.3419443   0.33905634  0.36        0.3594561   0.33635214  0.35999998
  0.36       -4.474462    0.25280258  0.35762432  0.3599888   0.35552764
  0.33633786  0.30475488  0.3517686   0.34966698  0.27986094  0.34264666
  0.36        0.31521732  0.28078142  0.35999995  0.20248781  0.35588336
  0.3506688   0.35999995 -0.04856184  0.35986078  0.16489756  0.34831133
  0.35591435  0.35999972  0.3277983   0.3599982   0.3436997   0.3599255
  0.33161217  0.35986018  0.34269103  0.32990807  0.35993475  0.35957783
  0.3599995   0.36        0.3580168   0.35999733  0.34942484  0.19217563
  0.35999954  0.35999858  0.35999987  0.35321125]"
19,"[ 0.34332827  0.35938528 -0.94580495  0.35465068  0.3581281   0.34976032
  0.36        0.35999414  0.35975295  0.31114006  0.35070854  0.3234712
  0.3516457   0.357351    0.36        0.35956073  0.33704805  0.36
  0.36        0.23843727  0.33455372  0.35933045  0.35999826  0.351866
  0.35691097  0.3599403   0.35141975  0.3453633   0.3120858   0.19903994
  0.36        0.35754716 -0.20943141  0.36        0.35958534  0.35827658
  0.3506229   0.36       -1.3623716   0.35998914  0.3478005   0.35848907
  0.3584257   0.35999992  0.35664174  0.35999978  0.3434557   0.35999253
  0.35634443  0.35978416  0.35643893  0.3397416   0.3599983   0.35991704
  0.35999992  0.36        0.3595028   0.35999954  0.35754588 -2.3569403
  0.35999992  0.35999978  0.35999998  0.35993844]"
20,"[0.3069712 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712
 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712
 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712
 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712
 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712
 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712
 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712
 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712
 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712
 0.3069712]"
