Time Steps,h
112,[0.33321166 0.33805048 0.34688413 0.34111664]
113,[0.3374585  0.33483702 0.32861954 0.34217048]
114,[0.35715687 0.34640184 0.3593236  0.35817274]
115,[0.3069712 0.3069712 0.3069712 0.3069712]
116,[0.33211267 0.32717568 0.3468336  0.33533603]
117,[0.31942192 0.33602396 0.33881387 0.34681997]
118,[ 0.3217658  -0.01759571  0.34037712  0.2839913 ]
119,[0.32443717 0.18356915 0.324215   0.31926638]
120,[0.32501143 0.34282815 0.34083432 0.33539936]
121,[0.3248589  0.33990082 0.34361547 0.33944654]
122,[0.32469228 0.3452264  0.3453721  0.3369426 ]
123,[0.35522068 0.34830612 0.34609115 0.3506303 ]
124,[0.3586513  0.34917215 0.32756186 0.34799665]
125,[0.3598477  0.34891126 0.34092036 0.3593648 ]
126,[0.359985   0.34767097 0.34525192 0.35855708]
127,[0.3599966  0.33094883 0.34941345 0.3594106 ]
128,[0.3599992  0.33277062 0.34988478 0.3599871 ]
129,[0.35999987 0.34069058 0.34958285 0.35999674]
130,[0.35999995 0.34805673 0.3596878  0.35999796]
131,[0.35999998 0.29315448 0.35858235 0.35999948]
132,[0.36       0.3108401  0.35900128 0.35999984]
133,[0.36       0.26422012 0.35967883 0.35999998]
134,[0.36       0.301691   0.35993007 0.36      ]
135,[0.3069712 0.3069712 0.3069712 0.3069712]
136,[0.33683515 0.31872874 0.33423027 0.31981945]
137,[0.34423348 0.29334578 0.34145284 0.32080972]
138,[0.34833196 0.27934912 0.34368694 0.3099965 ]
139,[0.34899536 0.2827603  0.34709126 0.33024347]
140,[0.34924427 0.34650785 0.34798032 0.33119556]
141,[0.34938228 0.3582297  0.34784618 0.31101966]
142,[0.34943855 0.35973313 0.34763595 0.32994875]
143,[0.3494592  0.3599473  0.34755778 0.33064857]
144,[0.33308244 0.35998783 0.34754848 0.3560461 ]
145,[0.33505043 0.3599977  0.33060145 0.35870168]
146,[0.34016997 0.35999954 0.33933434 0.35983822]
147,[0.34414208 0.35999992 0.34060383 0.35998842]
148,[0.3464231  0.35999998 0.34374765 0.35999727]
149,[0.3488915  0.36       0.35697392 0.35999867]
150,[0.32984152 0.36       0.35815883 0.35999945]
151,[0.31789872 0.36       0.3589859  0.3599998 ]
152,[0.3231895  0.36       0.35962877 0.35999995]
153,[0.3298517  0.36       0.3598899  0.35999998]
154,[0.33296892 0.36       0.35996807 0.36      ]
155,[0.3069712 0.3069712 0.3069712 0.3069712]
156,[0.32955718 0.32203507 0.32070425 0.34353516]
157,[0.3241575  0.32477334 0.32182992 0.33166084]
158,[0.32367367 0.32848814 0.314486   0.33391076]
159,[0.32912695 0.3322925  0.3140102  0.3359872 ]
160,[0.3314032  0.3191714  0.31384516 0.33671087]
161,[0.331556   0.3277366  0.31503874 0.33694136]
162,[0.3312038  0.33807233 0.31613943 0.33702308]
163,[0.34780654 0.34091914 0.32265034 0.31426242]
164,[0.3484877  0.3405954  0.35713413 0.33190843]
165,[0.343888   0.35636544 0.35882628 0.35576105]
166,[0.3069712 0.3069712 0.3069712 0.3069712]
167,[0.33314556 0.3352914  0.32588217 0.33904642]
168,[0.33341974 0.3307993  0.33331564 0.33250165]
169,[0.3297484  0.35041815 0.32449946 0.3184367 ]
170,[0.32024065 0.34850353 0.33988613 0.336977  ]
171,[0.3340361 0.3509047 0.3287699 0.3228254]
172,[ 0.3380131   0.3328841  -0.41914463 -0.25483918]
173,[0.34481305 0.34849742 0.2911496  0.33811477]
174,[0.33032414 0.34550047 0.33769035 0.35390842]
175,[0.3311533  0.34870553 0.34722853 0.3502845 ]
176,[0.3342149  0.35005438 0.3484766  0.33108288]
177,[0.35765788 0.35034546 0.32760328 0.33225772]
178,[0.3572465  0.35039306 0.3297671  0.33658493]
179,[0.35955986 0.3503786  0.33805296 0.3477442 ]
180,[0.35997277 0.35036474 0.34158832 0.34950137]
181,[0.35999277 0.35950106 0.31561062 0.35945183]
