Time Steps,h
10,"[-1.51206604e+02  3.59364331e-01 -2.23733854e+00  3.59843314e-01
  2.38942191e-01 -1.42366588e-01  3.33390921e-01  3.53733510e-01
  3.17602545e-01  3.58805776e-01 -1.27614717e+01  2.14994326e-01
  3.33020359e-01  3.42639834e-01  3.42633128e-01 -2.25099087e+00
 -2.19663047e+04 -4.88053741e+01  3.35715830e-01 -4.74216766e+01
 -1.17196578e+05 -1.42709307e+04  2.99836636e-01 -8.82151723e-02
  3.56475979e-01  2.44087607e-01 -1.25071311e+00 -1.47032380e-01
  3.37046385e-01  3.22593302e-01  3.59800339e-01  2.92073101e-01
  2.90274441e-01  3.55554551e-01 -3.97737312e+00  3.59956741e-01
  3.59976262e-01  3.55871558e-01 -2.46642975e+02  3.59125197e-01
  3.49289715e-01  3.49310815e-01  3.46797168e-01  5.99814951e-02
  3.38342458e-01  3.59998196e-01 -9.77794647e+01  3.27448428e-01
  3.48846912e-01  3.29911113e-01  3.45166743e-01  3.29200089e-01
 -2.14662048e+02 -8.22827301e+01 -1.03815414e+02  3.48912507e-01
  1.08153552e-01  3.47306967e-01 -2.94289627e+01  3.52038503e-01
  3.48750025e-01  3.38956684e-01  3.53316784e-01  3.16340804e-01]"
11,"[-1.0402160e+00  3.5994631e-01 -3.5517883e+01  3.5997748e-01
 -8.9141141e+04  1.9600040e-01  3.3525538e-01 -4.6981250e+03
  3.3015576e-01  3.5982662e-01 -6.9736986e+00 -1.0889827e+03
  3.4597263e-01  3.5595807e-01  3.5620913e-01  2.0358890e-02
 -4.1835739e+02 -1.4035126e+00  3.3670112e-01 -6.9259334e-01
 -2.7010823e+03 -1.1423160e+01  3.3519575e-01 -2.5740281e+04
  3.5909417e-01  3.3772510e-01  8.2289875e-02  2.4914733e-01
  3.4031630e-01  3.5572290e-01  3.5996568e-01 -3.6235859e+04
  3.3873403e-01  3.5904053e-01 -4.0672410e-01  3.5999155e-01
 -7.1300677e+02  3.5893095e-01 -7.3776927e+00  3.5989550e-01
  3.4935421e-01  3.4952474e-01 -2.6118679e+03  2.4913222e-01
  3.4556362e-01  3.5999966e-01 -2.6504822e+00 -4.2608463e+01
 -3.7843140e+02  3.5351145e-01  3.4658432e-01  3.4102553e-01
 -4.3939986e+00 -9.6953316e+00  1.8544900e-01  3.4892076e-01
 -7.4117412e+03  3.4730524e-01 -2.3047051e+00  3.5860211e-01
  3.4886098e-01 -4.1767312e+04  3.5844785e-01 -1.6239215e+03]"
12,"[-5.2647203e-01  3.5999680e-01 -4.2055082e+00  3.5999578e-01
 -3.1986687e+03  3.2811970e-01 -1.8151530e+03 -7.7822021e+01
  3.4244972e-01  3.5997117e-01 -8.8966763e-01 -6.3459644e+01
 -4.4006991e-01  3.5897502e-01  3.5901752e-01  3.0384153e-01
  2.3740777e-01 -3.3713424e-01  3.5589412e-01  2.1679765e-01
 -2.8708086e+01 -9.6899688e-01  3.4215799e-01 -9.9822882e+02
  3.5988477e-01 -1.6969807e+02  3.5155523e-01  3.0519882e-01
  3.4819615e-01  3.5872477e-01  3.5999212e-01 -1.9027451e+01
  3.5005370e-01  3.5979080e-01  2.5877729e-01  3.5999826e-01
 -2.2994747e+01  3.5985205e-01 -8.9382875e-01  3.5998592e-01
  3.4937397e-01  3.4962338e-01 -1.8366548e+00  3.3976766e-01
  3.4709784e-01  3.5999992e-01  1.2179418e-01 -3.8326412e-01
 -4.5088649e+00  3.5846069e-01  3.4693867e-01  3.4418285e-01
 -8.4668934e-01 -4.3265378e-01  9.7867936e-02  3.4892118e-01
 -3.5282977e+02  3.4730434e-01  2.2860287e-01  3.2016581e-01
  3.4889671e-01 -6.7760986e+02  3.5985401e-01 -2.0440365e+01]"
13,"[ 2.2126040e-01  3.5999978e-01  2.3173457e-01  3.5999915e-01
 -4.0320854e+01  3.5354406e-01 -3.3782227e+02 -5.0773591e-01
 -1.1112937e+03  3.5994688e-01  1.3813986e-01  1.4229204e-01
  1.3460872e-01  3.5986611e-01  3.5987091e-01  3.4859326e-01
 -8.7091398e-01 -8.1021398e+04  3.5970908e-01  3.2655802e-01
 -1.7286945e+01 -1.9174874e-02  3.4468612e-01 -1.6715163e-01
  3.5998350e-01 -5.9937248e+01  3.5232303e-01 -1.7633523e+00
  3.5735360e-01  3.5984018e-01  3.5999870e-01 -4.2682970e-01
  3.3172452e-01  3.5995558e-01  3.4297454e-01  3.5999963e-01
 -9.1902900e+03  3.5997677e-01  8.0615819e-02  3.5999748e-01
  3.4938124e-01  3.4966552e-01  3.3639216e-01  3.5671768e-01
 -6.6259875e+05  3.5889575e-01  3.1538823e-01  3.5927978e-01
  2.6645643e-01  3.5974479e-01  3.4688756e-01 -5.6565922e+04
  7.3617399e-03  1.0567126e-01 -8.0688623e+03  3.4892079e-01
 -3.0607104e-02 -1.2501671e+03  2.2444274e-01 -1.2074709e-02
  3.4891021e-01 -1.1998678e+01  3.5998729e-01 -7.4823409e-02]"
14,"[ 3.4168217e-01  3.5999998e-01  3.1064999e-01  3.5999984e-01
 -2.3873493e+01  3.5872230e-01 -6.9017482e+00 -1.5128326e-01
 -1.5825812e+02  3.5999879e-01  2.9518628e-01 -4.7360718e-02
  3.2299489e-01  3.5998002e-01  3.5998064e-01  3.1738365e-01
  1.6935220e-01 -2.1303986e+02  3.5998607e-01  3.5758290e-01
 -2.3809814e+00  2.4202338e-01  3.4584975e-01 -4.1083217e+00
  3.5999697e-01 -4.2987078e-02  3.3250880e-01 -1.6757482e+00
  3.5933232e-01  3.5997874e-01  3.5999975e-01  2.2044185e-01
 -2.5905752e+00  3.5999069e-01  3.5665318e-01  3.5999992e-01
 -2.2458244e+02  3.5999450e-01  3.2406455e-01  3.5999948e-01
  3.4938404e-01  3.5765469e-01  3.3032265e-01  3.5935557e-01
 -8.9500836e+02  3.5999614e-01  3.5478503e-01  3.5592085e-01
  3.2136717e-01  3.5995394e-01  3.4682193e-01 -9.4002667e+02
 -5.6711281e+01  2.8015512e-01 -1.3121467e+03 -4.7982216e+00
 -1.4242085e+00 -6.3036704e+00  1.7371087e-01  3.5511747e-01
  3.2835549e-01 -5.0822763e+00  3.5999826e-01  1.8400565e-01]"
15,"[ 3.5693479e-01  3.6000001e-01  3.5229751e-01  3.5999998e-01
 -3.0369172e+00  3.5972950e-01 -2.9681611e+00  2.8119588e-01
 -8.6583939e+00  3.5999978e-01  3.2079887e-01  3.1597200e-01
  3.5163134e-01  3.5999623e-01  3.5999638e-01  1.1122671e-01
 -1.2993500e+03 -1.5195475e+00  3.5999933e-01  3.5987681e-01
 -1.1577129e-02 -6.3884918e+01  3.5677966e-01 -8.4967881e-02
  3.5999939e-01 -6.1278224e-02  3.3535564e-01  2.7984089e-01
  3.5994592e-01  3.5999629e-01 -1.7708336e+01  3.2895234e-01
 -2.0372944e+00  3.5999805e-01  3.5927597e-01  3.5999998e-01
  2.8539973e-01  3.5999918e-01  3.5447288e-01  3.5999990e-01
  3.4938514e-01  3.5932583e-01  3.5890791e-01  3.5986352e-01
 -1.5627250e+01  3.5999998e-01  3.5094041e-01  3.5951364e-01
  3.4781295e-01  3.5999075e-01  3.5706523e-01 -9.9945183e+00
 -1.4403800e+01  3.3335978e-01 -6.1366207e+01 -3.1438985e+00
  1.5705746e-01  3.4936112e-01 -5.0021957e+02  3.5685778e-01
  3.4101814e-01 -5.3734946e-01  3.5999969e-01  3.3002365e-01]"
16,"[ 3.59367818e-01  3.60000014e-01  3.58759612e-01  3.60000014e-01
 -1.03622735e-01  3.59942794e-01 -9.69535112e-02  3.49263012e-01
 -8.53903294e-02  3.59999955e-01  3.38059008e-01  3.57467890e-01
  3.58499914e-01  3.59999239e-01  3.59999269e-01  3.56070787e-01
 -1.49095726e+00 -2.74957001e-01  3.59999955e-01  3.59994173e-01
 -1.75426651e+02  1.73474073e-01  3.59147996e-01  3.45005840e-01
  3.59999865e-01  3.17186683e-01  3.38634521e-01  2.93486416e-01
  3.59997064e-01  3.59999269e-01  3.46526802e-01  3.55213553e-01
  2.61651456e-01  3.59999597e-01  3.59842926e-01  3.60000014e-01
 -7.27555633e-01  3.59999835e-01  3.58910710e-01  3.59999985e-01
  3.49385560e-01  3.59937519e-01  3.59614760e-01  3.59971195e-01
 -3.87683916e+00  3.60000014e-01  3.48896652e-01  3.59970480e-01
  3.57794762e-01  3.59998077e-01  3.59187663e-01 -5.79338408e+00
 -1.07181360e+03  3.44814688e-01 -7.35266352e+00  2.98391640e-01
  3.48126769e-01  3.43474627e-01  2.73113251e-02  3.59702766e-01
  3.46593320e-01  2.20279187e-01  3.59999955e-01  3.55219841e-01]"
17,"[ 0.35986423  0.36        0.3597548   0.36        0.27745318  0.35998794
  0.2967655   0.35811007  0.24547872  0.36        0.34481186  0.3598679
  0.35969892  0.35999984  0.35999987  0.3577466   0.20381619  0.24080269
  0.36        0.35999957 -2.0262766   0.3596927   0.35990062  0.3538067
  0.35999998  0.35755637  0.34696096  0.3273469   0.35999984  0.35999987
  0.3587549   0.35911843  0.3273191   0.35999992  0.3599667   0.36
 -5.126025    0.35999998  0.3597665   0.36        0.34938586  0.35999495
  0.35995737  0.35999396 -0.54984224  0.36        0.34837547  0.35999846
  0.35968655  0.3599996   0.3599104  -0.58429724 -6.7155166   0.3476262
 -1.4921182   0.30110517  0.3593995   0.357798    0.31586477  0.35998386
  0.34822994  0.33347005  0.35999998  0.17293802]"
18,"[ 3.5997128e-01  3.6000001e-01  3.5994884e-01 -4.6680510e-01
  3.4301665e-01  3.5999748e-01 -8.3481340e+00  3.5960940e-01
  3.5130015e-01  3.6000001e-01  3.4728089e-01  3.5998982e-01
  3.5993710e-01  3.5999998e-01  3.5999998e-01  3.5978964e-01
  3.2560280e-01  3.5193628e-01  3.6000001e-01  3.5999995e-01
  3.5826090e-01  3.5877445e-01  3.5998699e-01  3.5903895e-01
  3.6000001e-01  3.5986197e-01  3.4854850e-01  3.4130365e-01
  3.5999998e-01  3.5999998e-01 -7.0328690e+01  5.5012882e-02
  3.5503018e-01  3.5999998e-01  3.5999301e-01  3.6000001e-01
 -2.5301969e-01  3.6000001e-01  3.5995045e-01  3.6000001e-01
  3.4938589e-01  3.5999936e-01  3.5999584e-01  3.5999873e-01
  2.3915604e-01  3.6000001e-01  3.4824282e-01  3.5999990e-01
  3.5994580e-01  3.5999992e-01 -4.6658325e+00 -1.1566786e+03
  1.6042159e-01  3.4855121e-01 -7.6431256e+02  3.4000385e-01
  3.5995767e-01  3.5985544e-01 -1.4298885e+04  3.5999924e-01
  3.4852898e-01 -8.6146553e+01  3.6000001e-01  3.3143783e-01]"
19,"[ 3.5999399e-01  3.6000001e-01 -4.8781238e+05 -1.1286646e-02
  3.5645801e-01  3.5986459e-01 -3.0028887e+00  3.5991609e-01
 -3.5887116e-01  3.6000001e-01  3.5718462e-01  3.5999849e-01
  3.5998678e-01 -2.7428729e+02  3.6000001e-01  3.5998821e-01
  3.5291457e-01  3.5961530e-01  3.6000001e-01  3.6000001e-01
  3.5111579e-01  3.5983521e-01 -1.7748055e+04  2.9250094e-01
  3.6000001e-01  3.5998699e-01  3.3094543e-01  3.4738737e-01
  3.6000001e-01  3.6000001e-01 -4.8534763e-01 -2.0018160e-02
  3.5916808e-01  3.6000001e-01  3.5999852e-01 -8.4537935e+00
 -4.8883516e+04  3.6000001e-01  3.5998958e-01  3.6000001e-01
  3.4938601e-01 -2.3841931e+03  3.5999939e-01  3.5999975e-01
  3.4076351e-01  3.6000001e-01 -3.8325133e+00  3.5999998e-01
  3.5998923e-01  3.5999998e-01 -4.8018241e-01 -1.0005566e+01
  2.7933666e-01  3.2906672e-01 -7.4879069e+00  3.4744096e-01
  3.5999352e-01  3.5999131e-01 -9.0187592e+01  3.5999995e-01
  3.4858203e-01 -1.0410314e+00  3.6000001e-01  3.5895473e-01]"
